44002617524 I 20220101000000   000000003228328.00BAHT   BAL000000003228328.00 INITIAL.
44002617524 T 20220101010603   000000000000176.75BAHT   BAL000000003228504.75 FROM00010115943.
44002617524 T 20220101081119   000000000000130.75BAHT   BAL000000003228635.50 FROM00010115943.
44002617524 T 20220101204103   000000000000137.00BAHT   BAL000000003228772.50 FROM00010115943.
44002617524 T 20220101225439   000000000000180.50BAHT   BAL000000003228953.00 FROM00010115943.
44002617524 T 20220102010334   000000000000124.75BAHT   BAL000000003229077.75 FROM00010115943.
44002617524 T 20220102080116   000000000000190.00BAHT   BAL000000003229267.75 FROM00010115943.
44002617524 T 20220102153513   000000000000146.00BAHT   BAL000000003229413.75 FROM00010115943.
44002617524 T 20220102160424   000000000000162.25BAHT   BAL000000003229576.00 FROM00010115943.
44002617524 T 20220102173512   000000000000176.00BAHT   BAL000000003229752.00 FROM00010115943.
44002617524 T 20220102205814   000000000000154.75BAHT   BAL000000003229906.75 FROM00010115943.
44002617524 T 20220102230026   000000000000180.00BAHT   BAL000000003230086.75 FROM00010115943.
44002617524 T 20220103010627   000000000000156.50BAHT   BAL000000003230243.25 FROM00010115943.
44002617524 T 20220103015859   000000000000132.25BAHT   BAL000000003230375.50 FROM00010115943.
44002617524 T 20220103022903   000000000000177.50BAHT   BAL000000003230553.00 FROM00010115943.
44002617524 T 20220103061745   000000000000185.75BAHT   BAL000000003230738.75 FROM00010115943.
44002617524 T 20220103110902   000000000000148.00BAHT   BAL000000003230886.75 FROM00010115943.
44002617524 T 20220103155949   000000000000139.00BAHT   BAL000000003231025.75 FROM00010115943.
44002617524 T 20220103191029   000000000000170.75BAHT   BAL000000003231196.50 FROM00010115943.
44002617524 T 20220104000446   000000000000200.25BAHT   BAL000000003231396.75 FROM00010115943.
44002617524 T 20220104012655   000000000000173.75BAHT   BAL000000003231570.50 FROM00010115943.
44002617524 T 20220104042624   000000000000162.75BAHT   BAL000000003231733.25 FROM00010115943.
44002617524 T 20220104095306   000000000000165.00BAHT   BAL000000003231898.25 FROM00010115943.
44002617524 T 20220104114833   000000000000166.75BAHT   BAL000000003232065.00 FROM00010115943.
44002617524 T 20220104161224   000000000000177.25BAHT   BAL000000003232242.25 FROM00010115943.
44002617524 T 20220104174926   000000000000119.00BAHT   BAL000000003232361.25 FROM00010115943.
44002617524 T 20220104180722   000000000000127.25BAHT   BAL000000003232488.50 FROM00010115943.
44002617524 T 20220104191859   000000000000113.75BAHT   BAL000000003232602.25 FROM00010115943.
44002617524 T 20220104215118   000000000000177.75BAHT   BAL000000003232780.00 FROM00010115943.
44002617524 T 20220104235122   000000000000144.75BAHT   BAL000000003232924.75 FROM00010115943.
44002617524 T 20220105025321   000000000000164.50BAHT   BAL000000003233089.25 FROM00010115943.
44002617524 T 20220105033834   000000000000177.75BAHT   BAL000000003233267.00 FROM00010115943.
