10803011297 I 20220101000000   000000003383622.75BAHT   BAL000000003383622.75 INITIAL.
10803011297 T 20220101062012   000000000000184.75BAHT   BAL000000003383807.50 FROM00010115943.
10803011297 T 20220102025038   000000000000112.50BAHT   BAL000000003383920.00 FROM00010115943.
10803011297 T 20220102031829   000000000000152.25BAHT   BAL000000003384072.25 FROM00010115943.
10803011297 T 20220102131033   000000000000199.25BAHT   BAL000000003384271.50 FROM00010115943.
10803011297 T 20220103000658   000000000000124.50BAHT   BAL000000003384396.00 FROM00010115943.
10803011297 T 20220103005157   000000000000165.75BAHT   BAL000000003384561.75 FROM00010115943.
10803011297 T 20220103030340   000000000000106.25BAHT   BAL000000003384668.00 FROM00010115943.
10803011297 T 20220103172606   000000000000195.25BAHT   BAL000000003384863.25 FROM00010115943.
10803011297 T 20220103210338   000000000000136.25BAHT   BAL000000003384999.50 FROM00010115943.
10803011297 T 20220104015141   000000000000100.50BAHT   BAL000000003385100.00 FROM00010115943.
10803011297 T 20220104023801   000000000000128.50BAHT   BAL000000003385228.50 FROM00010115943.
10803011297 T 20220104053801   000000000000159.00BAHT   BAL000000003385387.50 FROM00010115943.
10803011297 T 20220104055335   000000000000107.00BAHT   BAL000000003385494.50 FROM00010115943.
10803011297 T 20220104085257   000000000000137.25BAHT   BAL000000003385631.75 FROM00010115943.
10803011297 T 20220104093143   000000000000176.75BAHT   BAL000000003385808.50 FROM00010115943.
10803011297 T 20220104095159   000000000000152.25BAHT   BAL000000003385960.75 FROM00010115943.
10803011297 T 20220104104842   000000000000150.00BAHT   BAL000000003386110.75 FROM00010115943.
10803011297 T 20220104135856   000000000000175.75BAHT   BAL000000003386286.50 FROM00010115943.
10803011297 T 20220104142623   000000000000162.50BAHT   BAL000000003386449.00 FROM00010115943.
10803011297 T 20220104150743   000000000000106.00BAHT   BAL000000003386555.00 FROM00010115943.
10803011297 T 20220104202757   000000000000138.50BAHT   BAL000000003386693.50 FROM00010115943.
10803011297 T 20220104204937   000000000000133.50BAHT   BAL000000003386827.00 FROM00010115943.
10803011297 T 20220104222108   000000000000108.25BAHT   BAL000000003386935.25 FROM00010115943.
10803011297 T 20220104231903   000000000000139.00BAHT   BAL000000003387074.25 FROM00010115943.
10803011297 T 20220104233340   000000000000192.00BAHT   BAL000000003387266.25 FROM00010115943.
10803011297 T 20220105011532   000000000000108.75BAHT   BAL000000003387375.00 FROM00010115943.
10803011297 T 20220105022646   000000000000154.25BAHT   BAL000000003387529.25 FROM00010115943.
10803011297 T 20220105034141   000000000000182.00BAHT   BAL000000003387711.25 FROM00010115943.
10803011297 T 20220105040215   000000000000112.75BAHT   BAL000000003387824.00 FROM00010115943.
10803011297 T 20220105050804   000000000000122.00BAHT   BAL000000003387946.00 FROM00010115943.
10803011297 T 20220105055028   000000000000176.75BAHT   BAL000000003388122.75 FROM00010115943.
10803011297 T 20220105072410   000000000000115.50BAHT   BAL000000003388238.25 FROM00010115943.
10803011297 T 20220101033736   000000000000160.00BAHT   BAL000000003388398.25 FROM44088673004.
10803011297 T 20220101051009   000000000000187.75BAHT   BAL000000003388586.00 FROM44088673004.
10803011297 T 20220101052226   000000000000174.00BAHT   BAL000000003388760.00 FROM44088673004.
10803011297 T 20220101054413   000000000000144.75BAHT   BAL000000003388904.75 FROM44088673004.
10803011297 T 20220101072516   000000000000193.00BAHT   BAL000000003389097.75 FROM44088673004.
10803011297 T 20220101104117   000000000000188.00BAHT   BAL000000003389285.75 FROM44088673004.
10803011297 T 20220101140556   000000000000111.00BAHT   BAL000000003389396.75 FROM44088673004.
10803011297 T 20220101185721   000000000000157.75BAHT   BAL000000003389554.50 FROM44088673004.
10803011297 T 20220101191821   000000000000152.75BAHT   BAL000000003389707.25 FROM44088673004.
10803011297 T 20220101215426   000000000000145.75BAHT   BAL000000003389853.00 FROM44088673004.
10803011297 T 20220101230137   000000000000105.25BAHT   BAL000000003389958.25 FROM44088673004.
10803011297 T 20220102070519   000000000000185.25BAHT   BAL000000003390143.50 FROM44088673004.
10803011297 T 20220102080325   000000000000121.50BAHT   BAL000000003390265.00 FROM44088673004.
10803011297 T 20220102101402   000000000000154.25BAHT   BAL000000003390419.25 FROM44088673004.
10803011297 T 20220102195604   000000000000163.25BAHT   BAL000000003390582.50 FROM44088673004.
10803011297 T 20220102233448   000000000000147.75BAHT   BAL000000003390730.25 FROM44088673004.
10803011297 T 20220103060231   000000000000197.50BAHT   BAL000000003390927.75 FROM44088673004.
10803011297 T 20220101020416   000000000000100.50BAHT   BAL000000003391028.25 FROM44002617524.
10803011297 T 20220101031758   000000000000106.75BAHT   BAL000000003391135.00 FROM44002617524.
10803011297 T 20220101044924   000000000000185.50BAHT   BAL000000003391320.50 FROM44002617524.
10803011297 T 20220101054637   000000000000169.00BAHT   BAL000000003391489.50 FROM44002617524.
10803011297 T 20220101084601   000000000000118.25BAHT   BAL000000003391607.75 FROM44002617524.
10803011297 T 20220101092000   000000000000134.75BAHT   BAL000000003391742.50 FROM44002617524.
10803011297 T 20220101112940   000000000000156.25BAHT   BAL000000003391898.75 FROM44002617524.
10803011297 T 20220101120652   000000000000107.50BAHT   BAL000000003392006.25 FROM44002617524.
10803011297 T 20220101163425   000000000000169.00BAHT   BAL000000003392175.25 FROM44002617524.
10803011297 T 20220101194034   000000000000130.25BAHT   BAL000000003392305.50 FROM44002617524.
10803011297 T 20220102142543   000000000000136.25BAHT   BAL000000003392441.75 FROM44002617524.
10803011297 T 20220102160615   000000000000161.00BAHT   BAL000000003392602.75 FROM44002617524.
10803011297 T 20220102170052   000000000000120.00BAHT   BAL000000003392722.75 FROM44002617524.
10803011297 T 20220102202726   000000000000103.00BAHT   BAL000000003392825.75 FROM44002617524.
10803011297 T 20220102224742   000000000000121.00BAHT   BAL000000003392946.75 FROM44002617524.
10803011297 T 20220103003154   000000000000127.25BAHT   BAL000000003393074.00 FROM44002617524.
10803011297 T 20220103022941   000000000000106.75BAHT   BAL000000003393180.75 FROM44002617524.
10803011297 T 20220103044102   000000000000187.75BAHT   BAL000000003393368.50 FROM44002617524.
10803011297 T 20220103082014   000000000000164.50BAHT   BAL000000003393533.00 FROM44002617524.
10803011297 T 20220103135310   000000000000110.25BAHT   BAL000000003393643.25 FROM44002617524.
10803011297 T 20220103165032   000000000000199.00BAHT   BAL000000003393842.25 FROM44002617524.
10803011297 T 20220104002942   000000000000136.25BAHT   BAL000000003393978.50 FROM44002617524.
10803011297 T 20220104021540   000000000000147.75BAHT   BAL000000003394126.25 FROM44002617524.
10803011297 T 20220104061926   000000000000190.50BAHT   BAL000000003394316.75 FROM44002617524.
10803011297 T 20220104143334   000000000000167.00BAHT   BAL000000003394483.75 FROM44002617524.
10803011297 T 20220104152319   000000000000124.75BAHT   BAL000000003394608.50 FROM44002617524.
10803011297 T 20220101033704   000000000000181.00BAHT   BAL000000003394789.50 FROM85614200688.
10803011297 T 20220101150046   000000000000162.75BAHT   BAL000000003394952.25 FROM85614200688.
10803011297 T 20220102030453   000000000000145.50BAHT   BAL000000003395097.75 FROM85614200688.
10803011297 T 20220102111211   000000000000110.50BAHT   BAL000000003395208.25 FROM85614200688.
10803011297 T 20220102123545   000000000000198.50BAHT   BAL000000003395406.75 FROM85614200688.
10803011297 T 20220102212051   000000000000182.75BAHT   BAL000000003395589.50 FROM85614200688.
10803011297 T 20220103000211   000000000000195.75BAHT   BAL000000003395785.25 FROM85614200688.
10803011297 T 20220103060041   000000000000145.50BAHT   BAL000000003395930.75 FROM85614200688.
10803011297 T 20220103113730   000000000000141.50BAHT   BAL000000003396072.25 FROM85614200688.
10803011297 T 20220103161311   000000000000128.00BAHT   BAL000000003396200.25 FROM85614200688.
10803011297 T 20220103162123   000000000000154.50BAHT   BAL000000003396354.75 FROM85614200688.
10803011297 T 20220104000141   000000000000184.75BAHT   BAL000000003396539.50 FROM85614200688.
10803011297 T 20220104000241   000000000000157.75BAHT   BAL000000003396697.25 FROM85614200688.
10803011297 T 20220104031124   000000000000109.75BAHT   BAL000000003396807.00 FROM85614200688.
10803011297 T 20220101005606   000000000000198.25BAHT   BAL000000003397005.25 FROM11870049832.
10803011297 T 20220101052307   000000000000137.50BAHT   BAL000000003397142.75 FROM11870049832.
10803011297 T 20220101100530   000000000000159.25BAHT   BAL000000003397302.00 FROM11870049832.
10803011297 T 20220101134533   000000000000191.75BAHT   BAL000000003397493.75 FROM11870049832.
10803011297 T 20220102061349   000000000000114.25BAHT   BAL000000003397608.00 FROM11870049832.
10803011297 T 20220102104435   000000000000130.50BAHT   BAL000000003397738.50 FROM11870049832.
10803011297 T 20220102130659   000000000000140.50BAHT   BAL000000003397879.00 FROM11870049832.
10803011297 T 20220102165029   000000000000167.00BAHT   BAL000000003398046.00 FROM11870049832.
10803011297 T 20220102212820   000000000000101.75BAHT   BAL000000003398147.75 FROM11870049832.
10803011297 T 20220102215749   000000000000117.00BAHT   BAL000000003398264.75 FROM11870049832.
10803011297 T 20220102235930   000000000000125.75BAHT   BAL000000003398390.50 FROM11870049832.
10803011297 T 20220103034300   000000000000103.25BAHT   BAL000000003398493.75 FROM11870049832.
10803011297 T 20220103035313   000000000000142.75BAHT   BAL000000003398636.50 FROM11870049832.
10803011297 T 20220103045442   000000000000197.75BAHT   BAL000000003398834.25 FROM11870049832.
