01133011122 I 20220101000000   000000005662878.50BAHT   BAL000000005662878.50 INITIAL.
01133011122 T 20220101003214   000000000000159.50BAHT   BAL000000005663038.00 FROM00010115943.
01133011122 T 20220101051516   000000000000162.25BAHT   BAL000000005663200.25 FROM00010115943.
01133011122 T 20220101075145   000000000000179.50BAHT   BAL000000005663379.75 FROM00010115943.
01133011122 T 20220101104842   000000000000149.00BAHT   BAL000000005663528.75 FROM00010115943.
01133011122 T 20220101233649   000000000000106.25BAHT   BAL000000005663635.00 FROM00010115943.
01133011122 T 20220102023931   000000000000119.00BAHT   BAL000000005663754.00 FROM00010115943.
01133011122 T 20220102115545   000000000000158.25BAHT   BAL000000005663912.25 FROM00010115943.
01133011122 T 20220103020516   000000000000198.25BAHT   BAL000000005664110.50 FROM00010115943.
01133011122 T 20220103034351   000000000000141.00BAHT   BAL000000005664251.50 FROM00010115943.
01133011122 T 20220103131254   000000000000169.00BAHT   BAL000000005664420.50 FROM00010115943.
01133011122 T 20220103133049   000000000000156.25BAHT   BAL000000005664576.75 FROM00010115943.
01133011122 T 20220103143929   000000000000145.50BAHT   BAL000000005664722.25 FROM00010115943.
01133011122 T 20220103150549   000000000000200.25BAHT   BAL000000005664922.50 FROM00010115943.
01133011122 T 20220103162934   000000000000100.50BAHT   BAL000000005665023.00 FROM00010115943.
01133011122 T 20220103224313   000000000000107.25BAHT   BAL000000005665130.25 FROM00010115943.
01133011122 T 20220104001402   000000000000119.00BAHT   BAL000000005665249.25 FROM00010115943.
01133011122 T 20220104020301   000000000000173.25BAHT   BAL000000005665422.50 FROM00010115943.
01133011122 T 20220104021346   000000000000188.25BAHT   BAL000000005665610.75 FROM00010115943.
01133011122 T 20220104031536   000000000000178.25BAHT   BAL000000005665789.00 FROM00010115943.
01133011122 T 20220104044122   000000000000174.50BAHT   BAL000000005665963.50 FROM00010115943.
01133011122 T 20220104051342   000000000000102.75BAHT   BAL000000005666066.25 FROM00010115943.
01133011122 T 20220104062340   000000000000156.50BAHT   BAL000000005666222.75 FROM00010115943.
01133011122 T 20220104062813   000000000000109.50BAHT   BAL000000005666332.25 FROM00010115943.
01133011122 T 20220104064417   000000000000200.00BAHT   BAL000000005666532.25 FROM00010115943.
01133011122 T 20220104070357   000000000000176.00BAHT   BAL000000005666708.25 FROM00010115943.
01133011122 T 20220104080322   000000000000141.75BAHT   BAL000000005666850.00 FROM00010115943.
