11870049832 I 20220101000000   000000008689014.25BAHT   BAL000000008689014.25 INITIAL.
11870049832 T 20220101065342   000000000000191.75BAHT   BAL000000008689206.00 FROM00010115943.
11870049832 T 20220101101652   000000000000101.25BAHT   BAL000000008689307.25 FROM00010115943.
11870049832 T 20220101155928   000000000000144.00BAHT   BAL000000008689451.25 FROM00010115943.
11870049832 T 20220101213019   000000000000174.00BAHT   BAL000000008689625.25 FROM00010115943.
11870049832 T 20220102042202   000000000000119.25BAHT   BAL000000008689744.50 FROM00010115943.
11870049832 T 20220102071223   000000000000147.25BAHT   BAL000000008689891.75 FROM00010115943.
11870049832 T 20220102103423   000000000000185.50BAHT   BAL000000008690077.25 FROM00010115943.
11870049832 T 20220102110401   000000000000188.25BAHT   BAL000000008690265.50 FROM00010115943.
11870049832 T 20220102152250   000000000000188.75BAHT   BAL000000008690454.25 FROM00010115943.
11870049832 T 20220103041038   000000000000130.50BAHT   BAL000000008690584.75 FROM00010115943.
11870049832 T 20220103095407   000000000000103.25BAHT   BAL000000008690688.00 FROM00010115943.
11870049832 T 20220103102041   000000000000113.00BAHT   BAL000000008690801.00 FROM00010115943.
11870049832 T 20220103124033   000000000000173.75BAHT   BAL000000008690974.75 FROM00010115943.
11870049832 T 20220103124638   000000000000105.75BAHT   BAL000000008691080.50 FROM00010115943.
11870049832 T 20220103164634   000000000000111.75BAHT   BAL000000008691192.25 FROM00010115943.
11870049832 T 20220103200050   000000000000195.00BAHT   BAL000000008691387.25 FROM00010115943.
11870049832 T 20220103200312   000000000000103.25BAHT   BAL000000008691490.50 FROM00010115943.
11870049832 T 20220103212443   000000000000190.50BAHT   BAL000000008691681.00 FROM00010115943.
11870049832 T 20220103235929   000000000000167.25BAHT   BAL000000008691848.25 FROM00010115943.
11870049832 T 20220104032705   000000000000175.00BAHT   BAL000000008692023.25 FROM00010115943.
11870049832 T 20220104040842   000000000000170.75BAHT   BAL000000008692194.00 FROM00010115943.
11870049832 T 20220104044044   000000000000165.50BAHT   BAL000000008692359.50 FROM00010115943.
11870049832 T 20220104062430   000000000000106.00BAHT   BAL000000008692465.50 FROM00010115943.
11870049832 T 20220104070617   000000000000178.50BAHT   BAL000000008692644.00 FROM00010115943.
11870049832 T 20220104082958   000000000000130.25BAHT   BAL000000008692774.25 FROM00010115943.
11870049832 T 20220104085905   000000000000171.75BAHT   BAL000000008692946.00 FROM00010115943.
11870049832 T 20220104103506   000000000000145.25BAHT   BAL000000008693091.25 FROM00010115943.
11870049832 T 20220104112307   000000000000157.25BAHT   BAL000000008693248.50 FROM00010115943.
11870049832 T 20220104131826   000000000000105.25BAHT   BAL000000008693353.75 FROM00010115943.
11870049832 T 20220104153624   000000000000122.25BAHT   BAL000000008693476.00 FROM00010115943.
11870049832 T 20220104183710   000000000000162.25BAHT   BAL000000008693638.25 FROM00010115943.
11870049832 T 20220104191542   000000000000147.25BAHT   BAL000000008693785.50 FROM00010115943.
11870049832 T 20220104211806   000000000000186.50BAHT   BAL000000008693972.00 FROM00010115943.
11870049832 T 20220105004039   000000000000201.00BAHT   BAL000000008694173.00 FROM00010115943.
11870049832 T 20220105011224   000000000000160.00BAHT   BAL000000008694333.00 FROM00010115943.
11870049832 T 20220105013124   000000000000178.75BAHT   BAL000000008694511.75 FROM00010115943.
11870049832 T 20220105020517   000000000000171.50BAHT   BAL000000008694683.25 FROM00010115943.
