44088673004 I 20220101000000   000000002572713.50BAHT   BAL000000002572713.50 INITIAL.
44088673004 T 20220101022258   000000000000188.50BAHT   BAL000000002572902.00 FROM00010115943.
44088673004 T 20220101080319   000000000000180.75BAHT   BAL000000002573082.75 FROM00010115943.
44088673004 T 20220101080955   000000000000106.50BAHT   BAL000000002573189.25 FROM00010115943.
44088673004 T 20220101091917   000000000000115.25BAHT   BAL000000002573304.50 FROM00010115943.
44088673004 T 20220101162553   000000000000186.50BAHT   BAL000000002573491.00 FROM00010115943.
44088673004 T 20220102022143   000000000000135.50BAHT   BAL000000002573626.50 FROM00010115943.
44088673004 T 20220102093309   000000000000186.25BAHT   BAL000000002573812.75 FROM00010115943.
44088673004 T 20220102121103   000000000000133.50BAHT   BAL000000002573946.25 FROM00010115943.
44088673004 T 20220102123347   000000000000197.00BAHT   BAL000000002574143.25 FROM00010115943.
44088673004 T 20220102143536   000000000000117.50BAHT   BAL000000002574260.75 FROM00010115943.
44088673004 T 20220102161325   000000000000140.50BAHT   BAL000000002574401.25 FROM00010115943.
44088673004 T 20220102173437   000000000000164.50BAHT   BAL000000002574565.75 FROM00010115943.
44088673004 T 20220102181837   000000000000156.75BAHT   BAL000000002574722.50 FROM00010115943.
44088673004 T 20220102184613   000000000000172.75BAHT   BAL000000002574895.25 FROM00010115943.
44088673004 T 20220103043222   000000000000169.00BAHT   BAL000000002575064.25 FROM00010115943.
44088673004 T 20220103091749   000000000000103.25BAHT   BAL000000002575167.50 FROM00010115943.
44088673004 T 20220103093805   000000000000142.50BAHT   BAL000000002575310.00 FROM00010115943.
44088673004 T 20220103171330   000000000000177.75BAHT   BAL000000002575487.75 FROM00010115943.
44088673004 T 20220103180704   000000000000114.25BAHT   BAL000000002575602.00 FROM00010115943.
44088673004 T 20220103221359   000000000000191.75BAHT   BAL000000002575793.75 FROM00010115943.
44088673004 T 20220104023454   000000000000113.00BAHT   BAL000000002575906.75 FROM00010115943.
44088673004 T 20220104053106   000000000000148.25BAHT   BAL000000002576055.00 FROM00010115943.
44088673004 T 20220104060327   000000000000150.50BAHT   BAL000000002576205.50 FROM00010115943.
44088673004 T 20220104073101   000000000000101.75BAHT   BAL000000002576307.25 FROM00010115943.
