85614200688 I 20220101000000   000000001600231.25BAHT   BAL000000001600231.25 INITIAL.
85614200688 T 20220101010648   000000000000155.25BAHT   BAL000000001600386.50 FROM00010115943.
85614200688 T 20220101085020   000000000000159.50BAHT   BAL000000001600546.00 FROM00010115943.
85614200688 T 20220101122641   000000000000141.50BAHT   BAL000000001600687.50 FROM00010115943.
85614200688 T 20220101135117   000000000000136.00BAHT   BAL000000001600823.50 FROM00010115943.
85614200688 T 20220101232256   000000000000126.75BAHT   BAL000000001600950.25 FROM00010115943.
85614200688 T 20220101232703   000000000000155.00BAHT   BAL000000001601105.25 FROM00010115943.
85614200688 T 20220102015600   000000000000120.50BAHT   BAL000000001601225.75 FROM00010115943.
85614200688 T 20220102130420   000000000000195.25BAHT   BAL000000001601421.00 FROM00010115943.
85614200688 T 20220103005941   000000000000134.25BAHT   BAL000000001601555.25 FROM00010115943.
85614200688 T 20220103070006   000000000000118.25BAHT   BAL000000001601673.50 FROM00010115943.
85614200688 T 20220103115744   000000000000107.75BAHT   BAL000000001601781.25 FROM00010115943.
85614200688 T 20220103233201   000000000000181.00BAHT   BAL000000001601962.25 FROM00010115943.
85614200688 T 20220104025422   000000000000127.75BAHT   BAL000000001602090.00 FROM00010115943.
85614200688 T 20220104035515   000000000000126.00BAHT   BAL000000001602216.00 FROM00010115943.
85614200688 T 20220104050425   000000000000112.50BAHT   BAL000000001602328.50 FROM00010115943.
85614200688 T 20220104074627   000000000000144.25BAHT   BAL000000001602472.75 FROM00010115943.
85614200688 T 20220104155443   000000000000106.25BAHT   BAL000000001602579.00 FROM00010115943.
85614200688 T 20220104160931   000000000000154.75BAHT   BAL000000001602733.75 FROM00010115943.
85614200688 T 20220104163259   000000000000200.00BAHT   BAL000000001602933.75 FROM00010115943.
85614200688 T 20220104164023   000000000000129.00BAHT   BAL000000001603062.75 FROM00010115943.
85614200688 T 20220104180902   000000000000200.00BAHT   BAL000000001603262.75 FROM00010115943.
85614200688 T 20220104181304   000000000000120.75BAHT   BAL000000001603383.50 FROM00010115943.
85614200688 T 20220104200254   000000000000151.00BAHT   BAL000000001603534.50 FROM00010115943.
85614200688 T 20220104230115   000000000000114.25BAHT   BAL000000001603648.75 FROM00010115943.
